ingredient,occurrences,example_line,recipes,-> add to master as variant change
Neutral Oil,8,"500ml neutral oil (canola, veg, peanut, grapeseed etc.)",Pumpkin Protein Muffins; Sticky Soy Chicken with Garlic Rice in Spicy Broth; Chilli Oil; Spicy Tom Kha Soup with Tofu,
Fresh,5,75g (½ cup) fresh or frozen raspberries,Chocolate Raspberry Baked Protein Oats; Crispy Rosemary Chicken with Apple Beetroot & Horseradish Slaw; Protein Pancakes; Microwave Chocolate Protein Oats,
Oil,5,Oil,Single Serve Double Chocolate Butter Cake; Crispy Gluten Free Shrimp Dumplings; Thai Drunken Noodles (Pad Kee Mao); Thai Style Chicken Satay,
-,3,1/4-1/3 cup finely sliced scallions/spring onions,Mayak Korean Marinated Eggs,
Radishes,2,Handful radishes,Crispy Chilli Beef Protein Bowls; Tuna Chilli Crunch Salad,
Boneless,1,"370g (13oz) boneless, skinless chicken thighs",Chicken Spring Roll Bowl,
/ 65ml Vegetable Oil,1,3 tbsp / 65ml vegetable oil,Chicken Tikka Masala,
/ 2 Tbsp Unsalted Butter,1,30g / 2 tbsp unsalted butter,Chicken Tikka Masala,
/ 3 Tbsp Extra Unsalted Butter,1,50g / 3 tbsp extra unsalted butter,Chicken Tikka Masala,
/ 1.2 Lb Chicken Thigh,1,"600g / 1.2 lb chicken thigh, cut into 3cm / 2.2-inch cubes",Chicken Tikka Masala,
Handfuls Kale,1,2 handfuls kale (about 100g),Crispy Rice Salad with Miso Tofu,
Handfuls Fresh Spinach,1,2 handfuls fresh spinach,Garlic Miso Somen Noodles,
Neutral Cooking Oil,1,1½ tbsp neutral cooking oil,Garlic Miso Somen Noodles,
/ 600g Firm White Fish Fillets,1,1.2 lb / 600g firm white fish fillets,Marinated Fish Tacos,
Block Extra-firm Tofu,1,"1 block extra-firm tofu, pressed and grated on a box grater",Miso Peanut Ramen Bowl,
Nando S Garlic Sauce,1,20g Nando's garlic sauce,Nandos Chicken Pasta Salad,
Red Chillies,1,"Red chillies, finely sliced (optional)",Pho Gà - Vietnamese Chicken Pho,
/ 4 Cups Chicken Stock/broth,1,"1 litre / 4 cups chicken stock/broth, low sodium",Quick Chinese Vegetable Noodle Soup,
"/ 1/2"" Ginger Piece",1,"1.5cm / 1/2"" ginger piece, cut into 5 thin slices (optional, recommended)",Quick Chinese Vegetable Noodle Soup,
/ 2.5oz Enoki Mushrooms,1,75g / 2.5oz enoki mushrooms (or other mushrooms sliced or quartered),Quick Chinese Vegetable Noodle Soup,
Neutral Oil For Frying,1,Neutral oil for frying,Seared Miso Tuna Crispy Rice Bowl,
Watercress,1,1 cup (60g) fresh watercress,Shrimp Avocado and Greens with Lemony Tahini,
Plain Oil,1,"2 tbsp plain oil (canola, veg, or peanut)",Singapore Chicken Noodles,
Very Cup Each Bean Sprouts Baby Spinach,1,1 very heaped cup each bean sprouts & baby spinach,Singapore Chicken Noodles,
To,1,1/4 to 1/2 cup toasted walnuts,Smashed Broccoli Salad with Greek Yogurt Dressing,
/ 5oz Instant Noodles,1,"140g / 5oz instant noodles, ramen, knife-cut or Taiwanese wide flat noodle (or 250g / 8oz fresh noodles like hokkien or lo mein)",Spicy Asian Noodles with Spinach and Chilli Crisp,
Handfuls Curly Kale,1,"2 large handfuls curly kale, destalked and roughly shredded",Sweet Potato and Kale with Tahini Dressing,
Handfuls Baby Spinach,1,1–2 handfuls baby spinach or chopped kale (optional),Sweet Potato Chicken Enchilada Skillet,
Punnets Baby Mushrooms,1,2 punnets baby mushrooms,Tuscan-Style Chicken Meatballs & Baby Mushrooms,
/ 10oz Peeled Whole Cooked Prawns/shrimp,1,"300g / 10oz peeled whole cooked prawns/shrimp, split in half horizontally, poop short removed",Vietnamese Lettuce Wraps with Peanut Sauce,
/ 2.5oz Dried Vermicelli Noodles,1,75g / 2.5oz dried vermicelli noodles (or glass noodles or rice),Vietnamese Lettuce Wraps with Peanut Sauce,
Large,1,"12 large or 16-20 small lettuce leaves (baby cos/romaine, iceberg or butter lettuce)",Vietnamese Lettuce Wraps with Peanut Sauce,
