name,category,recipe_count,source,merged_from
salt,Salt & Seasoning,104,organic,salt;of salt;kosher salt
sea salt,Salt & Seasoning,15,organic,sea salt;of sea salt
black pepper,Salt & Seasoning,20,organic,black pepper;pepper
white pepper,Salt & Seasoning,10,organic,white pepper
garlic powder,Salt & Seasoning,35,organic,garlic powder
garlic granules,Salt & Seasoning,11,organic,garlic granules
onion powder,Salt & Seasoning,11,organic,onion powder
paprika,Salt & Seasoning,18,organic,paprika;sweet paprika
smoked paprika,Salt & Seasoning,23,organic,smoked paprika
chipotle powder,Salt & Seasoning,6,organic,chipotle powder
chilli powder,Salt & Seasoning,5,organic,chilli powder
curry powder,Salt & Seasoning,5,organic,curry powder
cumin,Salt & Seasoning,9,organic,cumin
turmeric,Salt & Seasoning,6,organic,turmeric
ground ginger,Salt & Seasoning,5,organic,ground ginger
cinnamon,Salt & Seasoning,38,organic,cinnamon;ground cinnamon
dried oregano,Salt & Seasoning,12,organic,dried oregano;oregano
pumpkin pie spice,Salt & Seasoning,9,organic,pumpkin pie spice
red pepper flakes,Salt & Seasoning,10,organic,red pepper flakes;chilli flakes
nutritional yeast,Salt & Seasoning,8,organic,nutritional yeast
olive oil,Oils & Fats,57,organic,olive oil
coconut oil,Oils & Fats,27,organic,coconut oil
sesame oil,Oils & Fats,36,organic,sesame oil;toasted sesame oil
vegetable oil,Oils & Fats,10,organic,vegetable oil
avocado oil,Oils & Fats,9,organic,avocado oil
coconut cream,Oils & Fats,4,organic,coconut cream
butter,Oils & Fats,0,force-include,
egg,Dairy & Eggs,62,organic,eggs;egg
egg whites,Dairy & Eggs,7,organic,egg whites
milk,Dairy & Eggs,36,organic,milk;milk of choice
almond milk,Dairy & Eggs,5,organic,almond milk
coconut milk,Dairy & Eggs,13,organic,coconut milk
greek yoghurt,Dairy & Eggs,32,organic,greek yogurt;greek yoghurt;plain greek yogurt;reek yoghurt
yoghurt,Dairy & Eggs,7,organic,yoghurt
feta,Dairy & Eggs,5,organic,feta
parmesan,Dairy & Eggs,4,organic,grated parmesan
cheddar cheese,Dairy & Eggs,0,force-include,
