variant,product,category,occurrences,why_flagged,your_notes,recipes,example_lines,split_into (you fill)
Salt And Pepper,Salt And Pepper,Spices & Herbs,24,pattern,"2 products: “Salt” ; ""Pepper"" .",Chicken Spring Roll Bowl; Chipotle Chicken & Rice Skillet; Creamy Thai Coconut Chicken Meatballs; Crispy Rosemary Chicken with Apple Beetroot & Horseradish Slaw; Dak Gomtang (Korean Chicken Soup); Easy Chipotle Chicken & Corn Salsa,"Salt and pepper || salt and pepper || Salt and pepper, to taste",
Ginger And Garlic Paste,Ginger And Garlic Paste,Produce,2,pattern,,Creamy Thai Coconut Chicken Meatballs,1 tsp ginger and garlic paste,
Salt And Black Pepper,Salt And Black Pepper,Spices & Herbs,2,pattern,2 products: “Salt” ; “Black Pepper”.,Chili Honey Chicken Bowl; Sweet Potato Chicken Enchilada Skillet,"Salt and black pepper, to taste || salt and black pepper to taste",
Salt And Cracked Pepper,Salt And Cracked Pepper,Spices & Herbs,2,pattern,"2 products: “Salt” ; ""Pepper"" .",Chipotle Chicken & Rice Skillet; Mediterranean Chicken & Rice Skillet,salt and cracked pepper,
Sunflower And Sesame Seed Blend,Sunflower And Sesame Seed Blend,Nuts & Seeds,2,pattern,,Date Tahini Bites with Sunflower Sesame Crust; Sunflower Sesame Date Chocolate Bites,2 cups sunflower and sesame seed blend || 1 cup ground sunflower and sesame seed blend (radiant blend),
And Blended Sweet Potato,Potatoes,Produce,1,pattern,“And blended” = preparation method,Sweet Potato Olive Oil Cake,1 cup cooked and blended sweet potato (from 1 large or 2 medium potatoes),
And Deveined Shrimp,Prawn,Meat & Seafood / Protein,1,pattern,,Steamed Rice Paper Dumplings with Shrimp,"1 lb peeled and deveined shrimp, tails removed and minced",
Basil And Parsley,Basil And Parsley,Spices & Herbs,1,pattern,2 products: basil & parsley,Green Goddess Chicken Prep Mix,large handful fresh basil and parsley,
Batch Quick Pickled Carrot And Daikon,Batch Quick Pickled Carrot And Daikon,Produce,1,pattern,Not sure about this category,(no direct match),,
Black And White Sesame Seed Coating,Black And White Sesame Seed Coating,Nuts & Seeds,1,pattern,,Crispy Chicken Rice Paper Dumplings,black and white sesame seeds for coating,
Butter Coffee Protein Powder,Butter Coffee Protein Powder,Dairy & Eggs / Alt,1,notes-flag,3 distinct ingredients/ products:  Butter Beverage - Coffee Pantry / Dry Goods - Protein Powder,Coffee Protein Ice Cream Affogato,1.25 scoops butter coffee protein powder,
Carrot And,Carrots,Produce,1,pattern,,(no direct match),,
Chilli Flake And Crispy Chilli Oil,Oil,Condiments & Sauces,1,pattern,,Tuna Chilli Crunch Salad,Optional: chilli flakes and crispy chilli oil,
Chocolate Chip With Coconut Oil,Chocolate Chip With Coconut Oil,Condiments & Sauces,1,pattern,,(no direct match),,
Cinnamon And Ginger,Cinnamon And Ginger,Spices & Herbs,1,pattern,2 different products: “Cinnamon” ; “Ginger” = both spices & herbs,Vegan Blueberry Protein Pancakes with Sticky Toffee Sauce,Dash cinnamon and ginger,
Cornflour Mixed With Water,Cornflour,Pantry / Dry Goods,1,pattern,Mixed with water = preparation method,(no direct match),,
Cucumber And Carrot,Cucumber And Carrot,Produce,1,pattern,,Healthy Orange & Cashew Chicken,"cucumber and carrot, peeled into ribbons",
Drained Weight Tuna In Brine,Drained Weight Tuna In Brine,Meat & Seafood / Protein,1,pattern,,Meal Prep Spicy Tuna Quesadilla,120g drained weight tuna in brine,
Garlic And Ginger,Garlic And Ginger,Produce,1,pattern,2 products: garlic & ginger,(no direct match),,
Garlic And Ginger Paste,Ginger And Garlic Paste,Produce,1,pattern,,Peanutty Chicken Salad,1 tsp garlic and ginger paste,
Garlic Paste And Ginger Paste,Garlic Paste And Ginger Paste,Produce,1,pattern,,Thai Prawn Meatball Bowl with Spicy Peanut Sauce,1 tsp garlic paste and ginger paste,
Juice And Zest Lime,Lime,Produce,1,pattern,2 different product variants but come from the same product = “zest” “juice”,(no direct match),,
Juice Orange And Zest,Orange,Produce,1,pattern,2 different product variants but come from the same product = “zest” “juice”,(no direct match),,
Lime And Peanut,Lime And Peanut,Pantry / Dry Goods,1,pattern,2 products (Lime - Produce) & Peanuts (Nuts & Seeds) - needs to be separated accordingly,Pad Thai with Prawns,1 lime and roasted peanuts to serve,
Mint And Coriander,Mint And Coriander,Produce,1,pattern,2 products: “mint” & “coriander”,(no direct match),,
Mix Chia Seed And Pumpkin Seed,Mix Chia Seed And Pumpkin Seed,Nuts & Seeds,1,pattern,,High Fibre Sticky Toffee Oats,Mix of chia seeds and pumpkin seeds,
Pancake And Waffle Mix,Flour,Pantry / Dry Goods,1,pattern,,Protein Pumpkin Chocolate Chip Muffins,2 cups pancake and waffle mix,
Pbfit Powder Mixed With Little Water Form Paste,Peanut Butter Powder,Pantry / Dry Goods,1,pattern,Mixed with little water form paste = preparation method,Chocolate Rice Cake Strawberry Treat,2 tbsp (14g) PBfit powder mixed with a little water to form a paste,
