,corrected_grams,note,needs,qty_source,recipe_name,meal_type,serves,section,ingredient_line,parsed_name,computed_grams,how,FULL_RECIPE_for_context,why_flagged
1,,,,,,,,,,,,,,
0,60,,?,estimated,Basic Oat Flour Pancakes,breakfast,2,Suggested Toppings,yoghurt,yoghurt,150,bare → 150 g typical (yoghurt),"[Main] 1/2 cup oats, blended into flour · [Main] 1 tsp baking powder · [Main] 1 egg · [Main] 2 tbsp thick Greek yoghurt · [Main] 4 tbsp milk (adjust to consistency) · [Suggested Toppings] yoghurt · [Suggested Toppings] strawberries · [Suggested Toppings] almond butter · [Suggested Toppings] maple syrup · [Suggested Toppings] cinnamon",large (~150g) main/base
1,,,,,,,,,,,,,,
0,0,take them out of the recipe.,★,unresolved,Carrot Cake Baked Oats,breakfast,1,To Top,Sultanas,Sultanas,,"no amount, generic item",[Main] 50g instant oats · [Main] 30g plant based protein powder · [Main] 15g sultanas · [Main] 50g grated carrot · [Main] 180ml milk · [Main] 1 tsp baking powder · [Main] 1 tsp mixed spice · [Main] 1 tbsp peanut butter · [Topping] 1 tbsp yoghurt · [Topping] 1 tbsp cream cheese · [Topping] Vanilla drops · [Topping] 1/2 tsp lemon juice · [To Top] Sultanas · [To Top] Walnuts · [To Top] Grated carrot,unresolved (no value)
1,,,,,,,,,,,,,,
0,50,~1/2 cup,?,estimated,Cottage Cheese Pancakes,breakfast,3,Main,Sliced bananas or blueberries for filling,Sliced bananas or blueberries for filling,2,bare → 1 × 2 g (blueberr),[Main] 4 eggs · [Main] 1 1/2 cups cottage cheese · [Main] 2 tbsp maple syrup · [Main] 1 tsp vanilla extract · [Main] 3/4 cup rolled oats or oat flour · [Main] 1/2 tbsp baking powder · [Main] Pinch of salt · [Main] Sliced bananas or blueberries for filling,dish-dependent phrase
1,,,,,,,,,,,,,,
0,,"[Main] Vanilla should read vanilla protein powder.
Filling of choice - this is optional, not included in nutritional estimations or grocery list.",★,unresolved,Fluffy Vegan Protein Pancakes,breakfast,2,Main,Filling of choice,Filling of choice,,"no amount, generic item",[Main] 100g flour · [Main] 50g vegan protein pancake mix · [Main] 150ml almond milk · [Main] 80ml yoghurt · [Main] 1 tbsp sugar · [Main] 1 tbsp baking powder · [Main] Vanilla · [Main] Filling of choice,unresolved (no value)
1,,,,,,,,,,,,,,
0,60,,?,estimated,Peach and Nectarine Overnight Oats,breakfast,1,Suggested Toppings,Vanilla yoghurt (use dairy-free),Vanilla yoghurt (use dairy-free),150,bare → 150 g typical (yoghurt),[Oats] ½ a peach or nectarine · [Oats] 200ml non-dairy milk · [Oats] 60g oats · [Oats] 1 tbsp chia seeds · [Suggested Toppings] Vanilla yoghurt (use dairy-free) · [Suggested Toppings] Peach or nectarine slices · [Suggested Toppings] Granola (check GF) · [Suggested Toppings] Almond butter,large (~150g) main/base
1,,,,,,,,,,,,,,
0,45,ml,?,estimated,Peanut Butter Banana French Toast,breakfast,1,French Toast,Oat milk,Oat milk,200,bare → 200 g typical (milk),[French Toast] 2 slices bread (use GF bread to keep GF) · [French Toast] Peanut butter · [French Toast] Sliced banana (sub sliced strawberries or mango to keep banana-free) · [French Toast] 1 egg · [French Toast] Oat milk · [French Toast] Vanilla · [French Toast] Cinnamon · [To Serve] Fresh fruit · [To Serve] Maple syrup,large (~200g) main/base
1,,,,,,,,,,,,,,
0,15,ml - 1 tbsp,?,estimated,Vegan Blueberry Protein Pancakes with Sticky Toffee Sauce,breakfast,,Sticky Toffee Sauce,Milk to thin,Milk to thin,200,bare → 200 g typical (milk),[Pancakes] ¾ cup plain flour (sub GF plain flour or oat flour to keep GF) · [Pancakes] 1 scoop vanilla protein powder · [Pancakes] 1 tbsp baking powder · [Pancakes] 1 tbsp agave syrup · [Pancakes] 1 tsp vanilla · [Pancakes] 1 tsp apple cider vinegar · [Pancakes] Approx. 1 cup milk of choice · [Pancakes] Pinch cinnamon · [Pancakes] Pinch salt · [Pancakes] Frozen blueberries · [Sticky Toffee Sauce] 1 tbsp nut butter · [Sticky Toffee Sauce] 1 tbsp maple or agave syrup · [Sticky Toffee Sauce] Dash cinnamon and ginger · [Sticky Toffee Sauce] Pinch salt · [Sticky Toffee Sauce] Milk to thin,large (~200g) main/base
1,,,,,,,,,,,,,,
0,60,ml,?,estimated,Vegan Chocolate Cake Baked Oats,breakfast,1,Fold-in & Topping,Extra milk for pouring over,Extra milk for pouring over,200,bare → 200 g typical (milk),[Batter] 60g oats · [Batter] 10g vegan vanilla protein powder · [Batter] 1 tsp raw cacao powder · [Batter] 1 tsp baking powder · [Batter] 100ml almond or milk of choice · [Batter] 40g vegan yoghurt · [Fold-in & Topping] Chocolate chips or chunks · [Fold-in & Topping] Extra milk for pouring over,large (~200g) main/base
1,,,,,,,,,,,,,,
0,60,,?,estimated,Vegan Chocolate Fudge Cake Oats,breakfast,1,Topping,Yoghurt (dairy-free),Yoghurt (dairy-free),150,bare → 150 g typical (yoghurt),[Cake] 1 egg (or ½ flax egg to make vegan) · [Cake] 1 tbsp yoghurt (use dairy-free soya or coconut yoghurt) · [Cake] 1 tbsp cocoa powder · [Cake] 40g oat flour · [Cake] 2 tbsp protein powder · [Cake] ½ tsp baking powder · [Cake] 80–90ml milk of choice · [Topping] Yoghurt (dairy-free) · [Topping] Maple syrup · [Topping] Cocoa powder,large (~150g) main/base
1,,,,,,,,,,,,,,
0,60,,?,estimated,Vegan Protein Waffles,breakfast,2,Topping,Dairy-free yoghurt,Dairy-free yoghurt,150,bare → 150 g typical (yoghurt),[Batter] ½ cup flour (sub GF plain flour or oat flour to keep GF) · [Batter] ¼ cup oats · [Batter] 1 tbsp sugar · [Batter] ½ tbsp baking powder · [Batter] 1 cup plant milk · [Batter] ⅛ cup coconut oil · [Batter] ¼ cup vanilla protein powder · [Topping] Dairy-free yoghurt · [Topping] Fresh or frozen berries,large (~150g) main/base
1,,,,,,,,,,,,,,
0,,no enough to actuallty count ,★,unresolved,Cat Magic Macro Protein Brownie,dessert,,Brownie,Sweetener drops,Sweetener drops,,"no amount, generic item",[Brownie] 100g oat flour · [Brownie] 30g whey protein powder (vanilla or chocolate) · [Brownie] 200ml egg whites · [Brownie] 300g mashed pumpkin (cooked) · [Brownie] 3 tbsp coco powder · [Brownie] Sweetener drops · [Brownie] 1 tsp baking powder · [Icing] 150g fat free smooth cottage cheese · [Icing] 10g whey protein · [Icing] 10g coco powder · [Icing] Sweetener drops · [Toppings] 2 blocks melted Lindt dark chocolate · [Toppings] 10g mini Tennis biscuits,unresolved (no value)
1,,,,,,,,,,,,,,
