action,variant,proposed_result,occurrences,recipes,example_line,your_change
SPLIT,Basil And Parsley,Basil | Parsley,1,Green Goddess Chicken Prep Mix,large handful fresh basil and parsley,
SPLIT,Batch Quick Pickled Carrot And Daikon,Pickled Carrot | Daikon,1,Vietnamese Lettuce Wraps with Peanut Sauce,1 batch quick pickled carrots and daikon (see below) OR 2 carrots finely julienned,
SPLIT,Butter Coffee Protein Powder,Butter | Coffee | Protein Powder,1,Coffee Protein Ice Cream Affogato,1.25 scoops butter coffee protein powder,
SPLIT,Carrot And White Radish,Carrot | White Radish,0,Vietnamese Lettuce Wraps with Peanut Sauce,"2 medium carrots and 1/2 large white radish (daikon), peeled and cut into 2mm batons",
SPLIT,Chilli Flake And Crispy Chilli Oil,Chilli Flakes | Crispy Chilli Oil,1,Tuna Chilli Crunch Salad,Optional: chilli flakes and crispy chilli oil,
SPLIT,Chocolate Chip With Coconut Oil,Chocolate Chips | Coconut Oil,1,Date Tahini Bites with Sunflower Sesame Crust,1/4 cup chocolate chips melted with 1 tsp coconut oil,
SPLIT,Cinnamon And Ginger,Cinnamon | Ginger,1,Vegan Blueberry Protein Pancakes with Sticky Toffee Sauce,Dash cinnamon and ginger,
SPLIT,Cucumber And Carrot,Cucumber | Carrot,1,Healthy Orange & Cashew Chicken,"cucumber and carrot, peeled into ribbons",
SPLIT,Flaky Sea Salt And Black Pepper,Salt | Black Pepper,0,Protein Packed Roasted Squash Pasta,Pinches of flaky sea salt and black pepper,
SPLIT,Garlic And Ginger,Garlic | Ginger,1,Creamy Thai Coconut Chicken Meatballs; Peanutty Chicken Salad; Spicy Asian Noodles with Spinach and Chilli Crisp; Thai Prawn Meatball Bowl with Spicy Peanut Sauce,1 heaped tsp ginger and garlic paste || 1 tsp ginger and garlic paste,
SPLIT,Garlic And Ginger Paste,Garlic Paste | Ginger Paste,1,Peanutty Chicken Salad,1 tsp garlic and ginger paste,
SPLIT,Garlic Paste And Ginger Paste,Garlic Paste | Ginger Paste,1,Thai Prawn Meatball Bowl with Spicy Peanut Sauce,1 tsp garlic paste and ginger paste,
SPLIT,Ginger And Garlic Paste,Ginger Paste | Garlic Paste,2,Creamy Thai Coconut Chicken Meatballs,1 tsp ginger and garlic paste,
SPLIT,Lime And Peanut,Lime | Peanut,1,Pad Thai with Prawns,1 lime and roasted peanuts to serve,
SPLIT,Mint And Coriander,Mint | Coriander,1,Crispy Tempeh Rice and Cucumber Salad; Vietnamese Lettuce Wraps with Peanut Sauce; Vietnamese Noodles with Lemongrass Chicken,Handful of mint & coriander || 2 cups each mint leaves + coriander/cilantro sprigs,
SPLIT,Mix Chia Seed And Pumpkin Seed,Chia Seeds | Pumpkin Seeds,1,High Fibre Sticky Toffee Oats,Mix of chia seeds and pumpkin seeds,
SPLIT,Pecan And Pumpkin Seed,Pecans | Pumpkin Seeds,1,Pumpkin Candy Apple Salad,2 tbsp chopped pecans and pumpkin seeds,
SPLIT,Pickled Onion And Lime,Pickled Onion | Lime,1,Roast Chicken Rice Salad,pickled onions and lime to garnish,
SPLIT,Pinche Flaky Sea Salt And Black Pepper,Salt | Black Pepper,1,Protein Packed Roasted Squash Pasta,Pinches of flaky sea salt and black pepper,
SPLIT,Quick Pickled Ribbon Cucumber And Carrot,Pickled Cucumber | Carrot,1,Thai Style Chicken Satay,"quick pickled ribbons of cucumber and carrot (rice vinegar, maple syrup, salt)",
SPLIT,Raspberry And Blueberry,Raspberry | Blueberry,1,Greek Yogurt Raspberry Blueberry Bake,Raspberries and blueberries,
SPLIT,Salt And Black Pepper,Salt | Black Pepper,2,Chili Honey Chicken Bowl; Sweet Potato Chicken Enchilada Skillet,"Salt and black pepper, to taste || salt and black pepper to taste",
SPLIT,Salt And Cinnamon,Salt | Cinnamon,1,Sticky Toffee Date Oats,Dash salt and cinnamon,
SPLIT,Salt And Cracked Pepper,Salt | Black Pepper,2,Chipotle Chicken & Rice Skillet; Mediterranean Chicken & Rice Skillet,salt and cracked pepper,
SPLIT,Salt And Pepper,Salt | Black Pepper,24,Chicken Spring Roll Bowl; Chipotle Chicken & Rice Skillet; Creamy Thai Coconut Chicken Meatballs; Crispy Rosemary Chicken with Apple Beetroot & Horseradish Slaw,Salt and pepper || salt and pepper,
SPLIT,Salt And Pepper Season,Salt | Black Pepper,1,Skillet Chicken Thighs with Mushroom Gravy,salt and pepper to season,
SPLIT,Salt And Sriracha,Salt | Sriracha,1,Crispy Rice Tuna Salad,Salt and sriracha,
SPLIT,Sunflower And Sesame Seed Blend,Sunflower Seeds | Sesame Seeds,2,Date Tahini Bites with Sunflower Sesame Crust; Sunflower Sesame Date Chocolate Bites,2 cups sunflower and sesame seed blend || 1 cup ground sunflower and sesame seed blend (radiant blend),
RENAME,Carrot And,Carrot,1,Carrot Cake Meal Prep Baked Oats; Carrot Cake Overnight Oats; Chicken Spring Roll Bowl; Crispy Chilli Beef Protein Bowls,70g grated carrot || 1/3 cup shredded carrot,
RENAME,Cinnamon And,Cinnamon,0,Carrot Cake Meal Prep Baked Oats; Carrot Cake Overnight Oats; Chicken Shawarma Crispy Rice Salad; Chicken Shawarma Sheet Pan Dinner,1 tsp cinnamon || 1/4 tsp cinnamon,
DESCRIPTOR (citrus→fruit),Juice And Zest Lime,Lime,1,Creamy Peanut Miso Ramen; Speedy Pad Thai Noodle Salad; Sticky Miso Chicken Prep Boxes,"Zest and juice of 1 lime || 1 lime, zest and juice",
DESCRIPTOR (citrus→fruit),Juice Orange And Zest,Orange,1,Healthy Orange & Cashew Chicken,juice of 1 large orange and 1 tsp zest,
DESCRIPTOR (citrus→fruit),Zest And Juice Lemon,Lemon,1,Lemon and Blueberry Baked Oats; Marinated Chicken Thighs with Mint Jalapeño Sauce; Protein Packed Roasted Squash Pasta,"1 lemon, juice and zest || zest and juice of 1 large lemon",
DESCRIPTOR (citrus→fruit),Zest And Juice Lime,Lime,1,Creamy Peanut Miso Ramen; Speedy Pad Thai Noodle Salad; Sticky Miso Chicken Prep Boxes,"Zest and juice of 1 lime || 1 lime, zest and juice",
DESCRIPTOR (→note),And Blended Sweet Potato,And Sweet Potato,1,Sweet Potato Olive Oil Cake,1 cup cooked and blended sweet potato (from 1 large or 2 medium potatoes),
DESCRIPTOR (→note),And Deveined Shrimp,And Shrimp,1,Steamed Rice Paper Dumplings with Shrimp,"1 lb peeled and deveined shrimp, tails removed and minced",
DESCRIPTOR (→note),Black And White Sesame Seed Coating,Black And White Sesame Seed,1,Crispy Chicken Rice Paper Dumplings,black and white sesame seeds for coating,
DESCRIPTOR (→note),Cornflour Mixed With Water,Cornflour Water,1,Sticky Lemon Sesame Garlic Prawns,1 tsp cornflour mixed with 50ml water,
DESCRIPTOR (→note),Drained Weight Tuna In Brine,Weight Tuna In Brine,1,Meal Prep Spicy Tuna Quesadilla,120g drained weight tuna in brine,
DESCRIPTOR (→note),Instant Coffee Dissolved In Water,Instant Coffee Water,0,Pistachio Tiramisu Oats,1 tsp instant coffee dissolved in 1 tbsp hot water (optional),
DESCRIPTOR (→note),Pbfit Powder Mixed With Little Water Form Paste,Pbfit Powder Little Water Form Paste,1,Chocolate Rice Cake Strawberry Treat,2 tbsp (14g) PBfit powder mixed with a little water to form a paste,
DESCRIPTOR (→note),Soaked And Drained Date,Soaked And Date,1,Cookie Dough Caramel Bars,1 cup soaked and drained dates,
DESCRIPTOR (→note),Sundried Tomato In Oil,Sundried Tomato,0,Smoky Caramelised Red Pepper Orzo; Tuscan-Style Chicken Meatballs & Baby Mushrooms,1 tbsp sundried tomato purée || 10–12 sundried tomatoes in oil,
DESCRIPTOR (→note),Sundried Tomatoes In Oil,Sundried Tomatoes,1,Tuscan-Style Chicken Meatballs & Baby Mushrooms,10–12 sundried tomatoes in oil,
DESCRIPTOR (→note),Tuna In Water,Tuna,1,Tuna Avocado Wrap; Tuna Salad Meal Prep,"1 tin tuna in spring water, drained || 4 x 5oz cans tuna in water",
KEEP (single product),Pancake And Waffle Mix,Pancake & Waffle Mix,1,Protein Pumpkin Chocolate Chip Muffins,2 cups pancake and waffle mix,
SPLIT,very cup each bean sprouts baby spinach,Bean Sprout|Spinach
SPLIT,Chipotle Taco Seasoning Tomato Sauce,Chipotle Taco Seasoning | Tomato Sauce,1,Chipotle Chicken Chop Bowl,chipotle taco seasoning & tomato sauce,
SPLIT,Dairy-free Chocolate Chip Coconut Oil,Dairy-free Chocolate Chips | Coconut Oil,1,No Bake Coconut Cookies,1/2 cup dairy-free chocolate chips + 1 tsp coconut oil (for drizzling),
SPLIT,Soy Sauce Rice Vinegar Season,Soy Sauce | Rice Vinegar,1,Sticky Miso Chicken Prep Boxes,soy sauce + rice vinegar to season,
SPLIT,Soy Sauce Fish Sauce,Soy Sauce | Fish Sauce,1,Creamy Mango and Coconut Cod Curry,Soy sauce & fish sauce,
SPLIT,Spring Onion Sesame Seed,Spring Onion | Sesame Seeds,1,Sticky Miso Chicken Bowl with Tahini Broccoli & Pickled Red Onion,spring onion & sesame seeds for garnish,
SPLIT,White Sugar Salt Dissolved In Boiling Water,White Sugar | Salt,1,Vietnamese Lettuce Wraps with Peanut Sauce,1/2 cup white sugar + 4 tsp salt dissolved in 1½ cups boiling water,
