recipe_id,recipe_name,source,sec_ord,section_title,missing_lines,total_lines,ingredients_recovered
96b923cc-efda-4d9c-9055-97b7fa22413c,"30 Minute Bang Bang Chicken Bowls","caileeeats",1,"for the bowl",3,3,""
96b923cc-efda-4d9c-9055-97b7fa22413c,"30 Minute Bang Bang Chicken Bowls","caileeeats",2,"for the sauce",5,5,""
96b923cc-efda-4d9c-9055-97b7fa22413c,"30 Minute Bang Bang Chicken Bowls","caileeeats",3,"for the chicken",8,8,""
e4695d2d-0e6c-4658-9609-92f4ecf97bce,"4 Ingredient Date Balls","@doctorbowl",1,"Main",5,5,""
58a9c00e-bc81-45e0-85f8-0eefb93e4426,"4 Ingredient Rice Cake Chocolate Bars","@mariannas_pantry",1,"Main",5,5,""
064f61de-5601-42ef-8c5e-0cba552801e0,"Air Fryer Cinnamon Roll Oats","@tracesoats",1,"Oat Base",9,9,""
064f61de-5601-42ef-8c5e-0cba552801e0,"Air Fryer Cinnamon Roll Oats","@tracesoats",2,"Cinnamon Swirl",4,4,""
064f61de-5601-42ef-8c5e-0cba552801e0,"Air Fryer Cinnamon Roll Oats","@tracesoats",3,"Icing",2,2,""
81b740e7-3f00-49b2-a11e-ac637d9be5ec,"Air Fryer Spring Rolls","Personal Recipe Book",1,"Filling",12,12,""
81b740e7-3f00-49b2-a11e-ac637d9be5ec,"Air Fryer Spring Rolls","Personal Recipe Book",2,"Wrappers",2,2,""
81b740e7-3f00-49b2-a11e-ac637d9be5ec,"Air Fryer Spring Rolls","Personal Recipe Book",3,"Peanut Dipping Sauce",6,6,""
59cc4c40-ed85-40ea-9b63-5efbceb4b04d,"Apple Almond Yogurt Bowl","@manskis_wellness",1,"Main",6,6,""
bcb95ded-db59-44e4-8ee4-f6e162b94d77,"Asian Chicken Salad with Cucumber and Crispy Seaweed","georgiamaysalamat",1,"salad",6,6,""
bcb95ded-db59-44e4-8ee4-f6e162b94d77,"Asian Chicken Salad with Cucumber and Crispy Seaweed","georgiamaysalamat",2,"to serve",3,3,""
cd77fa5d-5571-4afc-adaf-88561bc341a9,"Baked Middle Eastern Chicken Tray","shredhappens",1,"main",10,10,""
18632440-2773-439d-87d2-6619289b03b0,"Banh Cuon - Vietnamese Rice Paper Rolls","joexfitness",1,"toppings",3,3,""
18632440-2773-439d-87d2-6619289b03b0,"Banh Cuon - Vietnamese Rice Paper Rolls","joexfitness",2,"spicy fish sauce",5,5,""
18632440-2773-439d-87d2-6619289b03b0,"Banh Cuon - Vietnamese Rice Paper Rolls","joexfitness",3,"ingredients per 1 serving",9,9,""
9af1cd54-75a4-4568-857d-547940d32d20,"Basic Oat Flour Pancakes","@mindfully.jess",1,"Main",5,5,""
9af1cd54-75a4-4568-857d-547940d32d20,"Basic Oat Flour Pancakes","@mindfully.jess",2,"Suggested Toppings",5,5,""
fc79b256-4c03-4e40-bbc4-7b500a3a074c,"BBQ Chicken Stuffed Sweet Potatoes","mariannas_pantry",1,"main",6,6,""
fc79b256-4c03-4e40-bbc4-7b500a3a074c,"BBQ Chicken Stuffed Sweet Potatoes","mariannas_pantry",2,"optional",1,1,""
fc79b256-4c03-4e40-bbc4-7b500a3a074c,"BBQ Chicken Stuffed Sweet Potatoes","mariannas_pantry",3,"for the slaw",5,5,""
19843e4a-f7f1-48d8-b31b-f83b6c98288c,"Blended Overnight Oats","@hannahhclare",1,"Main",5,5,""
19843e4a-f7f1-48d8-b31b-f83b6c98288c,"Blended Overnight Oats","@hannahhclare",2,"Topping",2,2,""
aa39f281-4492-4113-8ef5-fd02383449d8,"Blended Raspberry Protein Chia Pudding","@mariannas_pantry",1,"Main",5,5,""
aa39f281-4492-4113-8ef5-fd02383449d8,"Blended Raspberry Protein Chia Pudding","@mariannas_pantry",2,"Toppings",2,2,""
d02e32b7-9c67-4ae7-8e45-e2693e1e8fac,"Blueberry Cheesecake Yogurt Bowl","@hebehiom",1,"Main",6,6,""
83bab5f5-cc38-4059-8343-a649050d94e1,"Blueberry, Lemon and Coconut Overnight Oats","@jshealth",1,"Oats",7,7,""
2afeb508-4845-4b72-b6e7-090c5d60b015,"Bone Broth Smothered Chicken","caitlinjesson",1,"main",13,13,""
a14481d3-f334-45a1-bcf0-155bd45eddcc,"Bounty Bar Overnight Oats","@oatmealmeanslove",1,"Main",7,7,""
6737e00f-9e82-4a1f-9404-ca28f8011662,"Brothy Miso Ginger Chicken and Rice","caitlinjesson",1,"main",14,14,""
1142e72b-e586-47ce-bbee-46f61c1b927c,"Brownie Batter Overnight Oats","Personal Recipe Book",1,"Base",8,8,""
1142e72b-e586-47ce-bbee-46f61c1b927c,"Brownie Batter Overnight Oats","Personal Recipe Book",2,"Topping",1,1,""
33248cb6-4aa5-49b5-8bc4-82668a066495,"Buffalo Chicken Wrap","dianaconforti.fit",1,"to serve",4,4,""
33248cb6-4aa5-49b5-8bc4-82668a066495,"Buffalo Chicken Wrap","dianaconforti.fit",2,"chicken breast",8,8,""
33248cb6-4aa5-49b5-8bc4-82668a066495,"Buffalo Chicken Wrap","dianaconforti.fit",3,"homemade coleslaw",7,7,""
b13ccd14-d377-4a4b-8b8b-6ae6e2aa56f1,"Burger Bowl","liftwsarah",1,"Bowl",13,13,""
9515f7db-40f4-4a2b-9eb9-403b88e323c0,"Butternut Peanut Butter Protein Mug Cake","Personal Recipe",1,"Main",6,6,""
8939b9a3-5636-4e14-ba05-c36a892ba2fd,"Butternut Squash Mac and Cheese","@emthenutrionist",1,"Main",9,9,""
8939b9a3-5636-4e14-ba05-c36a892ba2fd,"Butternut Squash Mac and Cheese","@emthenutrionist",2,"Breadcrumb Topping",4,4,""
d1ab3cbc-7d0b-4928-a7b5-9e8a77674ef1,"Café Style Jacket Potatoes with Chicken, Bacon and Sweetcorn","jadecarolan_",1,"main",12,12,""
d1ab3cbc-7d0b-4928-a7b5-9e8a77674ef1,"Café Style Jacket Potatoes with Chicken, Bacon and Sweetcorn","jadecarolan_",2,"salad",6,6,""
eaf7702b-b8e3-40ce-b9e4-4f7f65725526,"California Rolls in a Bowl","@healthygirlkitchen",1,"Bowl",10,10,""
eaf7702b-b8e3-40ce-b9e4-4f7f65725526,"California Rolls in a Bowl","@healthygirlkitchen",2,"Dressing and Garnish",3,3,""
284ec1c7-5ea1-4e78-86ad-a0d486fd8e29,"Caramel Rice Cake Strawberry Treat","@mariannas_pantry",1,"Main",6,6,""
5eaccfba-85aa-48b6-8eaa-9796c79b5769,"Caramelised Onion Rice with Tikka Cod","@emthenutrionist",1,"Cod Marinade",8,8,""
5eaccfba-85aa-48b6-8eaa-9796c79b5769,"Caramelised Onion Rice with Tikka Cod","@emthenutrionist",2,"Caramelised Onion Rice",8,8,""
5eaccfba-85aa-48b6-8eaa-9796c79b5769,"Caramelised Onion Rice with Tikka Cod","@emthenutrionist",3,"Raita",5,5,""
b1737060-81cc-4584-9ab6-faac1d39a632,"Carrot Cake Baked Oats","@tracesoats",1,"Main",11,11,""
b1737060-81cc-4584-9ab6-faac1d39a632,"Carrot Cake Baked Oats","@tracesoats",2,"Toppings",2,2,""
d7f45a4d-7098-48b6-9cdc-e4f4aead11d7,"Carrot Cake Loaf","Personal Recipe Book",1,"Main",11,11,""
02e399c0-d2ed-4200-b172-990b5735b7d9,"Cauliflower Cheese Gnocchi Bake","@emthenutrionist",1,"Main",12,12,""
2d30544e-9e6b-4a5c-a8bc-a6d70a272bc9,"Char Siu Chicken","joexfitness",1,"Chicken",10,10,""
2d30544e-9e6b-4a5c-a8bc-a6d70a272bc9,"Char Siu Chicken","joexfitness",2,"Rice",1,1,""
2d30544e-9e6b-4a5c-a8bc-a6d70a272bc9,"Char Siu Chicken","joexfitness",3,"Cucumber Salad",10,10,""
c6cf8cc6-54c7-4515-a715-ed697353de03,"Chicken & Egg Breakfast Casserole","@emilymnutrition",1,"Main",15,15,""
93442c4f-672c-401d-8f1c-c8d9d3e9c9f7,"Chicken and Potato Traybake","@natsnourishments",1,"Main",11,11,""
83e4a376-c3c9-4041-aa99-618d639c2b6b,"Pad Thai Inspired Saucy Chicken Noodles","kalejunkie",1,"sauce",7,7,""
83e4a376-c3c9-4041-aa99-618d639c2b6b,"Pad Thai Inspired Saucy Chicken Noodles","kalejunkie",2,"garnish",2,2,""
83e4a376-c3c9-4041-aa99-618d639c2b6b,"Pad Thai Inspired Saucy Chicken Noodles","kalejunkie",3,"pad thai",13,13,""
a11e2974-0717-4940-af8f-b3b3034f82f5,"Salmon Poke Bowl Meal Prep","@bertiesbite",1,"Salmon",11,11,""
a11e2974-0717-4940-af8f-b3b3034f82f5,"Salmon Poke Bowl Meal Prep","@bertiesbite",2,"Rest",5,5,""
1da115b2-b6e7-4cbd-a166-d161173683e7,"Strawberry Ice Cream","@edda.elisa",1,"Main",5,5,""
