Product,Pack qty,Measurement convention,Price per item,Price per measurement,Notes
NOTE,,,,,"Product naming should follow pluralising convention as used in supermarket labelling (e.g. hazelnuts, cashews, almonds) - apply on final naming pass"
Honey,340g,per kg,£1.04,£3.06/kg,720g pack also available: £2.30 (£3.19/kg)
Baking Powder,160g,per kg,£0.65,£4.06/kg,
Black Pepper,100g,per kg,£2.80,£28.00/kg,Whole Black Peppercorns. Grinder version also available: 50g £2.85 (£57.00/kg)
Baking Soda,180g,per kg,£0.65,£3.61/kg,Sainsbury's Bicarbonate of Soda
Chia Seed,150g,per kg,£1.80,£12.00/kg,
Milk Choice,400g/400ml,per litre,£0.75,£1.88/litre,"ASSUMPTION: matched to Coconut Milk (Light 400g and regular 400ml, both £0.75/£1.88 per litre) - confirm this is the right product for this row"
Fish Sauce,725ml,per litre,£5.49,£7.57/litre,Squid Brand (Amazon)
Chicken Breast,1kg,per kg,£6.69,£6.69/kg,640g pack also available: £4.62 (£7.22/kg)
Medjool Date,500g,per kg,£5.00,£10.00/kg,Tesco Finest Medjool Dates (non-pitted)
Salt And Pepper,,,,,"FLAGGED FOR CONSOLIDATION per user note: this row, 'Salt Pepper', and 'Pinche Salt Pepper' likely refer to the same ingredient combo and need to be normalised into one entry across recipes - not filled with product data yet"
Tahini,300g,per kg,£3.00,£10.00/kg,
Oregano,18g,per kg,£0.98,£54.44/kg,"Stamford Street Co. (dried, jar)"
White Pepper,,,,,
Almond Butter,,,£12.81,£12.81/kg,Pack size not visible in screenshot; was £13.41
Turmeric Powder,48g,per kg,£1.15,£23.96/kg,Sainsbury's Ground Turmeric
Chicken,1kg,per kg,£6.95,£6.95/kg,"ASSUMPTION: matched to Chicken Thigh Fillets (boneless, skinless) since no other generic 'Chicken' product was screenshotted - confirm this is the right cut"
Cornstarch,500g,per kg,£2.65,£5.30/kg,Sainsbury's Cornflour (UK equivalent of cornstarch)
Pumpkin Pie Spice,38g,per kg,£1.15,£30.26/kg,Same price/pack size as Ground Cinnamon (per user note)
Coconut Aminos,250ml,per litre,£6.99,£27.96/litre,Cocofina Organic (Amazon)
Nutritional Yeast,100g,per kg,£4.00,£40.00/kg,Marigold Engevita B12 flakes
Onion Powder,58g,per kg,£1.15,£19.83/kg,Sainsbury's Onion Granules
Rice Paper,340g,per kg,£3.45,£10.15/kg,Bamboo Tree (Amazon)
Dill,20g,per kg,£0.60,£30.00/kg,Sainsbury's Bunched Dill
Salt Pepper,,,,,FLAGGED FOR CONSOLIDATION - see 'Salt And Pepper' row note
Vanilla Bean Paste,60ml,per litre,£5.75,£95.83/litre,Nielsen-Massey. 118ml also available: £10.00 (£84.75/litre)
Tuna,4x145g (580g),per kg,£2.49,£6.10/kg,Tuna Chunks in Spring Water
Chipotle Powder,45g,per kg,£1.30,£28.89/kg,ASSUMPTION: matched to Chipotle Chilli Flakes (closest match; Sainsbury's doesn't stock a chipotle powder specifically) - confirm flakes vs powder is fine for your recipes
