recipe_id,recipe_name,serves,section,sec,item,ingredient_line,parsed_name,computed_grams,how,why_flagged,qty_source,corrected_grams,note,needs,implied_per_serve,FULL_RECIPE_for_context
9af1cd54-75a4-4568-857d-547940d32d20,Basic Oat Flour Pancakes,2,Suggested Toppings,1,0,yoghurt,yoghurt,150,bare → 150 g typical (yoghurt),large (~150g) main/base,estimated,60,,?,30,"[Main] 1/2 cup oats, blended into flour · [Main] 1 tsp baking powder · [Main] 1 egg · [Main] 2 tbsp thick Greek yoghurt · [Main] 4 tbsp milk (adjust to consistency) · [Suggested Toppings] yoghurt · [Suggested Toppings] strawberries · [Suggested Toppings] almond butter · [Suggested Toppings] maple syrup · [Suggested Toppings] cinnamon"
e220f797-feaf-4834-8c3a-b90a8324d513,Carrot Cake Baked Oats,1,To Top,2,0,Sultanas,Sultanas,,"no amount, generic item",unresolved (no value),unresolved,0,take them out of the recipe.,★,0,[Main] 50g instant oats · [Main] 30g plant based protein powder · [Main] 15g sultanas · [Main] 50g grated carrot · [Main] 180ml milk · [Main] 1 tsp baking powder · [Main] 1 tsp mixed spice · [Main] 1 tbsp peanut butter · [Topping] 1 tbsp yoghurt · [Topping] 1 tbsp cream cheese · [Topping] Vanilla drops · [Topping] 1/2 tsp lemon juice · [To Top] Sultanas · [To Top] Walnuts · [To Top] Grated carrot
2baefb39-a511-4366-940a-ac201af32c7a,Cottage Cheese Pancakes,3,Main,0,7,Sliced bananas or blueberries for filling,Sliced bananas or blueberries for filling,2,bare → 1 × 2 g (blueberr),dish-dependent phrase,estimated,50,~1/2 cup,?,16.6667,[Main] 4 eggs · [Main] 1 1/2 cups cottage cheese · [Main] 2 tbsp maple syrup · [Main] 1 tsp vanilla extract · [Main] 3/4 cup rolled oats or oat flour · [Main] 1/2 tbsp baking powder · [Main] Pinch of salt · [Main] Sliced bananas or blueberries for filling
a4507301-9eb3-4ffb-a0f4-c23673b499b6,Fluffy Vegan Protein Pancakes,2,Main,0,7,Filling of choice,Filling of choice,,"no amount, generic item",unresolved (no value),unresolved,,"[Main] Vanilla should read vanilla protein powder.
Filling of choice - this is optional, not included in nutritional estimations or grocery list.",★,,[Main] 100g flour · [Main] 50g vegan protein pancake mix · [Main] 150ml almond milk · [Main] 80ml yoghurt · [Main] 1 tbsp sugar · [Main] 1 tbsp baking powder · [Main] Vanilla · [Main] Filling of choice
f1e987eb-07f9-4400-8324-b52ad22d8233,Peach and Nectarine Overnight Oats,1,Suggested Toppings,1,0,Vanilla yoghurt (use dairy-free),Vanilla yoghurt (use dairy-free),150,bare → 150 g typical (yoghurt),large (~150g) main/base,estimated,60,,?,60,[Oats] ½ a peach or nectarine · [Oats] 200ml non-dairy milk · [Oats] 60g oats · [Oats] 1 tbsp chia seeds · [Suggested Toppings] Vanilla yoghurt (use dairy-free) · [Suggested Toppings] Peach or nectarine slices · [Suggested Toppings] Granola (check GF) · [Suggested Toppings] Almond butter
ccc66272-46f2-4751-b2a1-802b6bc2996e,Peanut Butter Banana French Toast,1,French Toast,0,4,Oat milk,Oat milk,200,bare → 200 g typical (milk),large (~200g) main/base,estimated,45,ml,?,45,[French Toast] 2 slices bread (use GF bread to keep GF) · [French Toast] Peanut butter · [French Toast] Sliced banana (sub sliced strawberries or mango to keep banana-free) · [French Toast] 1 egg · [French Toast] Oat milk · [French Toast] Vanilla · [French Toast] Cinnamon · [To Serve] Fresh fruit · [To Serve] Maple syrup
49108bee-8400-4e0a-8597-4492b3b28b8e,Vegan Blueberry Protein Pancakes with Sticky Toffee Sauce,,Sticky Toffee Sauce,1,4,Milk to thin,Milk to thin,200,bare → 200 g typical (milk),large (~200g) main/base,estimated,15,ml - 1 tbsp,?,,[Pancakes] ¾ cup plain flour (sub GF plain flour or oat flour to keep GF) · [Pancakes] 1 scoop vanilla protein powder · [Pancakes] 1 tbsp baking powder · [Pancakes] 1 tbsp agave syrup · [Pancakes] 1 tsp vanilla · [Pancakes] 1 tsp apple cider vinegar · [Pancakes] Approx. 1 cup milk of choice · [Pancakes] Pinch cinnamon · [Pancakes] Pinch salt · [Pancakes] Frozen blueberries · [Sticky Toffee Sauce] 1 tbsp nut butter · [Sticky Toffee Sauce] 1 tbsp maple or agave syrup · [Sticky Toffee Sauce] Dash cinnamon and ginger · [Sticky Toffee Sauce] Pinch salt · [Sticky Toffee Sauce] Milk to thin
bbfa4a73-1d92-4ad8-994c-8292698c5545,Vegan Chocolate Cake Baked Oats,1,Fold-in & Topping,1,1,Extra milk for pouring over,Extra milk for pouring over,200,bare → 200 g typical (milk),large (~200g) main/base,estimated,60,ml,?,60,[Batter] 60g oats · [Batter] 10g vegan vanilla protein powder · [Batter] 1 tsp raw cacao powder · [Batter] 1 tsp baking powder · [Batter] 100ml almond or milk of choice · [Batter] 40g vegan yoghurt · [Fold-in & Topping] Chocolate chips or chunks · [Fold-in & Topping] Extra milk for pouring over
5ebdd5bb-297b-4af3-940b-42325dcf1535,Vegan Chocolate Fudge Cake Oats,1,Topping,1,0,Yoghurt (dairy-free),Yoghurt (dairy-free),150,bare → 150 g typical (yoghurt),large (~150g) main/base,estimated,60,,?,60,[Cake] 1 egg (or ½ flax egg to make vegan) · [Cake] 1 tbsp yoghurt (use dairy-free soya or coconut yoghurt) · [Cake] 1 tbsp cocoa powder · [Cake] 40g oat flour · [Cake] 2 tbsp protein powder · [Cake] ½ tsp baking powder · [Cake] 80–90ml milk of choice · [Topping] Yoghurt (dairy-free) · [Topping] Maple syrup · [Topping] Cocoa powder
c6a9663b-edbb-4e17-9e22-8148dd4dbb53,Vegan Protein Waffles,2,Topping,1,0,Dairy-free yoghurt,Dairy-free yoghurt,150,bare → 150 g typical (yoghurt),large (~150g) main/base,estimated,60,,?,30,[Batter] ½ cup flour (sub GF plain flour or oat flour to keep GF) · [Batter] ¼ cup oats · [Batter] 1 tbsp sugar · [Batter] ½ tbsp baking powder · [Batter] 1 cup plant milk · [Batter] ⅛ cup coconut oil · [Batter] ¼ cup vanilla protein powder · [Topping] Dairy-free yoghurt · [Topping] Fresh or frozen berries
5b68882e-0c1c-4c81-ade8-a89a521e5572,Cat Magic Macro Protein Brownie,,Brownie,0,5,Sweetener drops,Sweetener drops,,"no amount, generic item",unresolved (no value),unresolved,,no enough to actuallty count ,★,,[Brownie] 100g oat flour · [Brownie] 30g whey protein powder (vanilla or chocolate) · [Brownie] 200ml egg whites · [Brownie] 300g mashed pumpkin (cooked) · [Brownie] 3 tbsp coco powder · [Brownie] Sweetener drops · [Brownie] 1 tsp baking powder · [Icing] 150g fat free smooth cottage cheese · [Icing] 10g whey protein · [Icing] 10g coco powder · [Icing] Sweetener drops · [Toppings] 2 blocks melted Lindt dark chocolate · [Toppings] 10g mini Tennis biscuits
