recipe_id,recipe_name,meal_type,serves,section,sec,item,ingredient_line,parsed_name,computed_grams,how,why_flagged,qty_source,corrected_grams,exclude_from_nutrition,note,FULL_RECIPE_for_context
9af1cd54-75a4-4568-857d-547940d32d20,Basic Oat Flour Pancakes,breakfast,2,Suggested Toppings,1,1,strawberries,strawberries,12,bare → 1 × 12 g (strawberr),plural name priced as 1 piece (12 g) — likely a portion,estimated,,,,"[Main] 1/2 cup oats, blended into flour · [Main] 1 tsp baking powder · [Main] 1 egg · [Main] 2 tbsp thick Greek yoghurt · [Main] 4 tbsp milk (adjust to consistency) · [Suggested Toppings] yoghurt · [Suggested Toppings] strawberries · [Suggested Toppings] almond butter · [Suggested Toppings] maple syrup · [Suggested Toppings] cinnamon"
9af1cd54-75a4-4568-857d-547940d32d20,Basic Oat Flour Pancakes,breakfast,2,Suggested Toppings,1,2,almond butter,almond butter,32,bare → 16 g typical (almond butter) × 2 serves,estimated default (~32g),estimated,,,,"[Main] 1/2 cup oats, blended into flour · [Main] 1 tsp baking powder · [Main] 1 egg · [Main] 2 tbsp thick Greek yoghurt · [Main] 4 tbsp milk (adjust to consistency) · [Suggested Toppings] yoghurt · [Suggested Toppings] strawberries · [Suggested Toppings] almond butter · [Suggested Toppings] maple syrup · [Suggested Toppings] cinnamon"
9af1cd54-75a4-4568-857d-547940d32d20,Basic Oat Flour Pancakes,breakfast,2,Suggested Toppings,1,3,maple syrup,maple syrup,40,bare → 20 g typical (maple syrup) × 2 serves,estimated default (~40g),estimated,,,,"[Main] 1/2 cup oats, blended into flour · [Main] 1 tsp baking powder · [Main] 1 egg · [Main] 2 tbsp thick Greek yoghurt · [Main] 4 tbsp milk (adjust to consistency) · [Suggested Toppings] yoghurt · [Suggested Toppings] strawberries · [Suggested Toppings] almond butter · [Suggested Toppings] maple syrup · [Suggested Toppings] cinnamon"
6035db4c-9e7e-4231-9a30-d8d043edbaba,Protein Oatmeal Breakfast Cookies,breakfast,8,Main,0,5,Chocolate chips,Chocolate chips,240,bare → 30 g typical (chocolate) × 8 serves,medium (~240g),estimated,,,,[Main] 1 cup oat flour · [Main] 1/4 cup milk of choice · [Main] 1/2 cup vanilla protein powder · [Main] 1/4 cup peanut butter · [Main] 1/4 cup maple syrup · [Main] Chocolate chips · [Main] Pinch of salt
c6a9663b-edbb-4e17-9e22-8148dd4dbb53,Vegan Protein Waffles,breakfast,2,Topping,1,1,Fresh or frozen berries,Fresh or frozen berries,160,bare → 80 g typical (berr) × 2 serves,medium (~160g),estimated,,,,[Batter] ½ cup flour (sub GF plain flour or oat flour to keep GF) · [Batter] ¼ cup oats · [Batter] 1 tbsp sugar · [Batter] ½ tbsp baking powder · [Batter] 1 cup plant milk · [Batter] ⅛ cup coconut oil · [Batter] ¼ cup vanilla protein powder · [Topping] Dairy-free yoghurt · [Topping] Fresh or frozen berries
aa39f281-4492-4113-8ef5-fd02383449d8,Blended Raspberry Protein Chia Pudding,dessert,3,Toppings,1,0,Fresh raspberries,Fresh raspberries,5,bare → 1 × 5 g (raspberr),plural name priced as 1 piece (5 g) — likely a portion,estimated,,,,[Main] 1 cup frozen raspberries · [Main] 1 1/2 cups unsweetened vanilla almond milk · [Main] 1/4 cup sugar free maple syrup (or sweetener of choice) · [Main] 1/2 cup chia seeds · [Main] 2 scoops vanilla protein powder · [Toppings] Fresh raspberries · [Toppings] Peanut butter
aa39f281-4492-4113-8ef5-fd02383449d8,Blended Raspberry Protein Chia Pudding,dessert,3,Toppings,1,1,Peanut butter,Peanut butter,48,bare → 16 g typical (peanut butter) × 3 serves,estimated default (~48g),estimated,,,,[Main] 1 cup frozen raspberries · [Main] 1 1/2 cups unsweetened vanilla almond milk · [Main] 1/4 cup sugar free maple syrup (or sweetener of choice) · [Main] 1/2 cup chia seeds · [Main] 2 scoops vanilla protein powder · [Toppings] Fresh raspberries · [Toppings] Peanut butter
d7f45a4d-7098-48b6-9cdc-e4f4aead11d7,Carrot Cake Loaf,dessert,5,Optional,1,0,chopped walnuts,chopped walnuts,150,bare → 30 g typical (walnut) × 5 serves,medium (~150g),estimated,,,,[Loaf] 60–75g soy yogurt · [Loaf] 1 egg · [Loaf] 50g GF or oat flour · [Loaf] 30g vegan protein powder (or 20g for a softer loaf) · [Loaf] 15g coconut sugar · [Loaf] ½ cup (50g) grated carrot · [Loaf] 1 tbsp cinnamon · [Loaf] ½ tsp baking powder · [Loaf] ½ tsp baking soda · [Loaf] pinch of salt · [Optional] chopped walnuts
e45acef2-7654-4c47-af7d-5f6142b78baa,Chocolate Hazelnut Cookie Dough Balls,dessert,15,Main,0,8,Chocolate chips,Chocolate chips,450,bare → 30 g typical (chocolate) × 15 serves,large (~450g) main/base,estimated,,,,[Main] 3/4 cup cashew butter · [Main] 3/4 cup ground hazelnuts · [Main] 1/3 cup oat flour · [Main] 1/4 cup vanilla protein powder (optional) · [Main] 1/3 cup maple syrup · [Main] 1 tbsp chopped toasted hazelnuts · [Main] Dash vanilla extract · [Main] Pinch salt · [Main] Chocolate chips · [Coating] 100g dark chocolate · [Coating] More hazelnuts
e45acef2-7654-4c47-af7d-5f6142b78baa,Chocolate Hazelnut Cookie Dough Balls,dessert,15,Coating,1,1,More hazelnuts,More hazelnuts,450,bare → 30 g typical (hazelnut) × 15 serves,large (~450g) main/base,estimated,,,,[Main] 3/4 cup cashew butter · [Main] 3/4 cup ground hazelnuts · [Main] 1/3 cup oat flour · [Main] 1/4 cup vanilla protein powder (optional) · [Main] 1/3 cup maple syrup · [Main] 1 tbsp chopped toasted hazelnuts · [Main] Dash vanilla extract · [Main] Pinch salt · [Main] Chocolate chips · [Coating] 100g dark chocolate · [Coating] More hazelnuts
